source_id,venue,title,doi,year,open_url,keywords,abstract,openalex_id
https://openalex.org/S67831204,Computer Graphics Forum,The State of the Art in Enhancing Trust in Machine Learning Models with the Use of Visualizations,https://doi.org/10.1111/cgf.14034,2020,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/cgf.14034,Visualization; Computer science; Data science; Categorization; Interactive visualization; Trustworthiness; Data visualization; Information visualization; Meaning (existential); Human–computer interaction; World Wide Web; Artificial intelligence,"Abstract Machine learning (ML) models are nowadays used in complex applications in various domains, such as medicine, bioinformatics, and other sciences. Due to their black box nature, however, it may sometimes be hard to understand and trust the results they provide. This has increased the demand for reliable visualization tools related to enhancing trust in ML models, which has become a prominent topic of research in the visualization community over the past decades. To provide an overview and present the frontiers of current research on the topic, we present a State‐of‐the‐Art Report (STAR) on enhancing trust in ML models with the use of interactive visualization. We define and describe the background of the topic, introduce a categorization for visualization techniques that aim to accomplish this goal, and discuss insights and opportunities for future research directions. Among our contributions is a categorization of trust against different facets of interactive ML, expanded and improved from previous research. Our results are investigated from different analytical perspectives: (a) providing a statistical overview, (b) summarizing key findings, (c) performing topic analyses, and (d) exploring the data sets used in the individual papers, all with the support of an interactive web‐based survey browser. We intend this survey to be beneficial for visualization researchers whose interests involve making ML models more trustworthy, as well as researchers and practitioners from other disciplines in their search for effective visualization techniques suitable for solving their tasks with confidence and conveying meaning to their data.",https://openalex.org/W3034069517
https://openalex.org/S67831204,Computer Graphics Forum,The State of the Art of Spatial Interfaces for 3D Visualization,https://doi.org/10.1111/cgf.14189,2021,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/cgf.14189,Visualization; Computer science; Data science; Human–computer interaction; Information visualization; Visual analytics; Interactive visualization; Creative visualization; Data visualization; Scientific visualization; Taxonomy (biology); Geovisualization; Data mining,"Abstract We survey the state of the art of spatial interfaces for 3D visualization. Interaction techniques are crucial to data visualization processes and the visualization research community has been calling for more research on interaction for years. Yet, research papers focusing on interaction techniques, in particular for 3D visualization purposes, are not always published in visualization venues, sometimes making it challenging to synthesize the latest interaction and visualization results. We therefore introduce a taxonomy of interaction technique for 3D visualization. The taxonomy is organized along two axes: the primary source of input on the one hand and the visualization task they support on the other hand. Surveying the state of the art allows us to highlight specific challenges and missed opportunities for research in 3D visualization. In particular, we call for additional research in: (1) controlling 3D visualization widgets to help scientists better understand their data, (2) 3D interaction techniques for dissemination, which are under‐explored yet show great promise for helping museum and science centers in their mission to share recent knowledge, and (3) developing new measures that move beyond traditional time and errors metrics for evaluating visualizations that include spatial interaction.",https://openalex.org/W3105602061
https://openalex.org/S4363607743,CHI Conference on Human Factors in Computing Systems,Neo: Generalizing Confusion Matrix Visualization to Hierarchical and Multi-Output Labels,https://doi.org/10.1145/3491102.3501823,2022,https://dl.acm.org/doi/pdf/10.1145/3491102.3501823,Confusion matrix; Confusion; Computer science; Class (philosophy); Visualization; Formative assessment; Matrix (chemical analysis); Analytics; Visual analytics; Data visualization; Artificial intelligence; Theoretical computer science; Machine learning; Data science; Human–computer interaction; Information retrieval; Mathematics; Mathematics education,"The confusion matrix, a ubiquitous visualization for helping people evaluate machine learning models, is a tabular layout that compares predicted class labels against actual class labels over all data instances. We conduct formative research with machine learning practitioners at Apple and find that conventional confusion matrices do not support more complex data-structures found in modern-day applications, such as hierarchical and multi-output labels. To express such variations of confusion matrices, we design an algebra that models confusion matrices as probability distributions. Based on this algebra, we develop Neo, a visual analytics system that enables practitioners to flexibly author and interact with hierarchical and multi-output confusion matrices, visualize derived metrics, renormalize confusions, and share matrix specifications. Finally, we demonstrate Neo's utility with three model evaluation scenarios that help people better understand model performance and reveal hidden confusions.",https://openalex.org/W3208416788
https://openalex.org/S67831204,Computer Graphics Forum,A Survey on Visualizations for Musical Data,https://doi.org/10.1111/cgf.13905,2020,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/cgf.13905,Visualization; Musicology; Computer science; Data science; Information visualization; Context (archaeology); Field (mathematics); Data visualization; Software; Scientific visualization; Musical; World Wide Web; Human–computer interaction; Data mining; Visual arts; Geography; Art,"Abstract Digital methods are increasingly applied to store, structure and analyse vast amounts of musical data. In this context, visualization plays a crucial role, as it assists musicologists and non‐expert users in data analysis and in gaining new knowledge. This survey focuses on this unique link between musicology and visualization. We classify 129 related works according to the visualized data types, and we analyse which visualization techniques were applied for certain research inquiries and to fulfill specific tasks. Next to scientific references, we take commercial music software and public websites into account, that contribute novel concepts of visualizing musicological data. We encounter different aspects of uncertainty as major problems when dealing with musicological data and show how occurring inconsistencies are processed and visually communicated. Drawing from our overview in the field, we identify open challenges for research on the interface of musicology and visualization to be tackled in the future.",https://openalex.org/W3009845531
https://openalex.org/S67831204,Computer Graphics Forum,How accessible is my visualization? Evaluating visualization accessibility with Chartability,https://doi.org/10.1111/cgf.14522,2022,https://doi.org/10.1111/cgf.14522,Computer science; Visualization; Audit; Heuristics; Process (computing); Set (abstract data type); Data science; Visual analytics; Human–computer interaction; Data visualization; Artificial intelligence,"Abstract Novices and experts have struggled to evaluate the accessibility of data visualizations because there are no common shared guidelines across environments, platforms, and contexts in which data visualizations are authored. Between non‐specific standards bodies like WCAG, emerging research, and guidelines from specific communities of practice, it is hard to organize knowledge on how to evaluate accessible data visualizations. We present Chartability, a set of heuristics synthesized from these various sources which enables designers, developers, researchers, and auditors to evaluate data‐driven visualizations and interfaces for visual, motor, vestibular, neurological, and cognitive accessibility. In this paper, we outline our process of making a set of heuristics and accessibility principles for Chartability and highlight key features in the auditing process. Working with participants on real projects, we found that data practitioners with a novice level of accessibility skills were more confident and found auditing to be easier after using Chartability. Expert accessibility practitioners were eager to integrate Chartability into their own work. Reflecting on Chartability's development and the preliminary user evaluation, we discuss tradeoffs of open projects, working with high‐risk evaluations like auditing projects in the wild, and challenge future research projects at the intersection of visualization and accessibility to consider the broad intersections of disabilities.",https://openalex.org/W4291138602
https://openalex.org/S67831204,Computer Graphics Forum,State of the Art of Visual Analytics for eXplainable Deep Learning,https://doi.org/10.1111/cgf.14733,2023,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/cgf.14733,Visual analytics; Deep learning; Computer science; Analytics; Learning analytics; Data science; Artificial intelligence; Visualization; Visual learning; Cultural analytics; Field (mathematics); Maturity (psychological); Machine learning; Human–computer interaction; Psychology; Mathematics education; Semantic analytics,"Abstract The use and creation of machine‐learning‐based solutions to solve problems or reduce their computational costs are becoming increasingly widespread in many domains. Deep Learning plays a large part in this growth. However, it has drawbacks such as a lack of explainability and behaving as a black‐box model. During the last few years, Visual Analytics has provided several proposals to cope with these drawbacks, supporting the emerging eXplainable Deep Learning field. This survey aims to (i) systematically report the contributions of Visual Analytics for eXplainable Deep Learning; (ii) spot gaps and challenges; (iii) serve as an anthology of visual analytical solutions ready to be exploited and put into operation by the Deep Learning community (architects, trainers and end users) and (iv) prove the degree of maturity, ease of integration and results for specific domains. The survey concludes by identifying future research challenges and bridging activities that are helpful to strengthen the role of Visual Analytics as effective support for eXplainable Deep Learning and to foster the adoption of Visual Analytics solutions in the eXplainable Deep Learning community. An interactive explorable version of this survey is available online at https://aware‐diag‐sapienza.github.io/VA4XDL .",https://openalex.org/W4319311001
https://openalex.org/S67831204,Computer Graphics Forum,Mini‐VLAT: A Short and Effective Measure of Visualization Literacy,https://doi.org/10.1111/cgf.14809,2023,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/cgf.14809,Measure (data warehouse); Visualization; Computer science; Visual literacy; Literacy; Computer graphics (images); Data science; Artificial intelligence; Mathematics education; Data mining; Psychology; Pedagogy,"Abstract The visualization community regards visualization literacy as a necessary skill. Yet, despite the recent increase in research into visualization literacy by the education and visualization communities, we lack practical and time‐effective instruments for the widespread measurements of people's comprehension and interpretation of visual designs. We present Mini‐VLAT, a brief but practical visualization literacy test. The Mini‐VLAT is a 12‐item short form of the 53‐item Visualization Literacy Assessment Test (VLAT). The Mini‐VLAT is reliable (coefficient omega = 0.72) and strongly correlates with the VLAT. Five visualization experts validated the Mini‐VLAT items, yielding an average content validity ratio (CVR) of 0.6. We further validate Mini‐VLAT by demonstrating a strong positive correlation between study participants' Mini‐VLAT scores and their aptitude for learning an unfamiliar visualization using a Parallel Coordinate Plot test. Overall, the Mini‐VLAT items showed a similar pattern of validity and reliability as the 53‐item VLAT. The results show that Mini‐VLAT is a psychometrically sound and practical short measure of visualization literacy.",https://openalex.org/W4382132409
https://openalex.org/S4363607743,CHI Conference on Human Factors in Computing Systems,Supporting Accessible Data Visualization Through Audio Data Narratives,https://doi.org/10.1145/3491102.3517678,2022,https://doi.org/10.1145/3491102.3517678,Sonification; Computer science; Narrative; Visualization; Data visualization; World Wide Web; Human–computer interaction; Multimedia; Information retrieval; Data science; Artificial intelligence,"Online data visualizations play an important role in informing public opinion but are often inaccessible to screen reader users. To address the need for accessible data representations on the web that provide direct, multimodal, and up-to-date access to the data, we investigate audio data narratives –which combine textual descriptions and sonification (the mapping of data to non-speech sounds). We conduct two co-design workshops with screen reader users to define design principles that guide the structure, content, and duration of a data narrative. Based on these principles and relevant auditory processing characteristics, we propose a dynamic programming approach to automatically generate an audio data narrative from a given dataset. We evaluate our approach with 16 screen reader users. Findings show with audio narratives, users gain significantly more insights from the data. Users describe data narratives help them better extract and comprehend the information in both the sonification and description.",https://openalex.org/W4225163156
https://openalex.org/S67831204,Computer Graphics Forum,Misinformed by Visualization: What Do We Learn From Misinformative Visualizations?,https://doi.org/10.1111/cgf.14559,2022,https://doi.org/10.1111/cgf.14559,Visualization; Computer science; Misinformation; Data science; Information visualization; Dilemma; World Wide Web; The Internet; Human–computer interaction; Artificial intelligence; Epistemology,"Abstract Data visualization is powerful in persuading an audience. However, when it is done poorly or maliciously, a visualization may become misleading or even deceiving. Visualizations give further strength to the dissemination of misinformation on the Internet. The visualization research community has long been aware of visualizations that misinform the audience, mostly associated with the terms “lie” and “deceptive.” Still, these discussions have focused only on a handful of cases. To better understand the landscape of misleading visualizations, we open‐coded over one thousand real‐world visualizations that have been reported as misleading. From these examples, we discovered 74 types of issues and formed a taxonomy of misleading elements in visualizations. We found four directions that the research community can follow to widen the discussion on misleading visualizations: (1) informal fallacies in visualizations, (2) exploiting conventions and data literacy, (3) deceptive tricks in uncommon charts, and (4) understanding the designers' dilemma. This work lays the groundwork for these research directions, especially in understanding, detecting, and preventing them.",https://openalex.org/W4302042384
https://openalex.org/S4363607743,CHI Conference on Human Factors in Computing Systems,Infosonics: Accessible Infographics for People who are Blind using Sonification and Voice,https://doi.org/10.1145/3491102.3517465,2022,https://doi.org/10.1145/3491102.3517465,Infographic; Sonification; Computer science; World Wide Web; Human–computer interaction; Multimedia; Annotation; Visualization; Artificial intelligence,"Data visualisations are increasingly used online to engage readers and enable independent analysis of the data underlying news stories. However, access to such infographics is problematic for readers who are blind or have low vision (BLV). Equitable access to information is a basic human right and essential for independence and inclusion. We introduce infosonics, the audio equivalent of infographics, as a new style of interactive sonification that uses a spoken introduction and annotation, non-speech audio and sound design elements to present data in an understandable and engaging way. A controlled user evaluation with 18 BLV adults found a COVID-19 infosonic enabled a clearer mental image than a traditional sonification. Further, infosonics prove complementary to text descriptions and facilitate independent understanding of the data. Based on our findings, we provide preliminary suggestions for infosonics design, which we hope will enable BLV people to gain equitable access to online news and information.",https://openalex.org/W4224992944
https://openalex.org/S4363607743,CHI Conference on Human Factors in Computing Systems,Visualization Accessibility in the Wild: Challenges Faced by Visualization Designers,https://doi.org/10.1145/3491102.3517630,2022,https://doi.org/10.1145/3491102.3517630,Visualization; Computer science; Context (archaeology); Data visualization; Human–computer interaction; Data science; Creative visualization; Information visualization; Artificial intelligence,"Data visualizations are now widely used across many disciplines. However, many of them are not easily accessible for visually impaired people. In this work, we use three-staged mixed methods to understand the current practice of accessible visualization design for visually impaired people. We analyzed 95 visualizations from various venues to inspect how they are made inaccessible. To understand the rationale and context behind the design choices, we also conducted surveys with 144 practitioners in the U.S. and follow-up interviews with ten selected survey participants. Our findings include the difficulties of handling modern complex and interactive visualizations and the lack of accessibility support from visualization tools in addition to personal and organizational factors making it challenging to perform accessible design practices.",https://openalex.org/W4225009239
https://openalex.org/S67831204,Computer Graphics Forum,Investigating the Role and Interplay of Narrations and Animations in Data Videos,https://doi.org/10.1111/cgf.14560,2022,https://doi.org/10.1111/cgf.14560,Computer science; Animation; Variety (cybernetics); Popularity; Visualization; Coding (social sciences); Narrative; Data visualization; World Wide Web; Multimedia; CLIPS; Information retrieval; Data science; Artificial intelligence; Computer graphics (images),"Abstract Combining data visualizations, animations, and audio narrations, data videos can increase viewer engagement and effectively communicate data stories. Due to their increasing popularity, data videos have gained growing attention from the visualization research community. However, recent research on data videos has focused on animations, lacking an understanding of narrations. In this work, we study how data videos use narrations and animations to convey information effectively. We conduct a qualitative analysis on 426 clips with visualizations extracted from 60 data videos collected from a variety of media outlets, covering a diverse array of topics. We manually label 816 sentences with 1226 semantic labels and record the composition of 2553 animations through an open coding process. We also analyze how narrations and animations coordinate with each other by assigning links between semantic labels and animations. With 937 (76.4%) semantic labels and 2503 (98.0%) animations linked, we identify four types of narration‐animation relationships in the collected clips. Drawing from the findings, we discuss study implications and future research opportunities of data videos.",https://openalex.org/W4302770601
https://openalex.org/S67831204,Computer Graphics Forum,Visual Analysis of Spatio‐temporal Phenomena with 1D Projections,https://doi.org/10.1111/cgf.14311,2021,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/cgf.14311,Computer science; Locality; Visualization; Projection (relational algebra); Context (archaeology); Interactive visual analysis; Domain (mathematical analysis); Set (abstract data type); Geovisualization; Data mining; Artificial intelligence; Visual analytics; Information visualization; Machine learning; Geography; Algorithm,"Abstract It is crucial to visually extrapolate the characteristics of their evolution to understand critical spatio‐temporal events such as earthquakes, fires, or the spreading of a disease. Animations embedded in the spatial context can be helpful for understanding details, but have proven to be less effective for overview and comparison tasks. We present an interactive approach for the exploration of spatio‐temporal data, based on a set of neighborhood‐preserving 1D projections which help identify patterns and support the comparison of numerous time steps and multivariate data. An important objective of the proposed approach is the visual description of local neighborhoods in the 1D projection to reveal patterns of similarity and propagation. As this locality cannot generally be guaranteed, we provide a selection of different projection techniques, as well as a hierarchical approach, to support the analysis of different data characteristics. In addition, we offer an interactive exploration technique to reorganize and improve the mapping locally to users' foci of interest. We demonstrate the usefulness of our approach with different real‐world application scenarios and discuss the feedback we received from domain and visualization experts.",https://openalex.org/W3169838319
